Mes;Materias plásticas y manufacturas;Caucho y manufacturas;Manufacturas de cuero, artículos de viaje, bolsos;Madera, carbón vegetal y manufacturas de madera;Papel, cartón y sus manufacturas;Manufacturas de piedra, yeso, cemento, mica y análogas;Vidrio y manufacturas;Manufactura de fundición, de hierro o acero;Cobre y sus manufacturas;Aluminio y sus manufacturas;Manufacturas diversas
septiembre-15;115.816;6.471;6.238;4.005;21.945;3.538;16.686;11.388;20.205;18.330;15.112
octubre-15;112.583;4.453;6.066;3.014;16.602;3.171;12.298;12.931;13.036;20.829;14.106
noviembre-15;93.391;3.047;6.462;3.795;23.285;2.630;11.971;11.992;15.125;17.447;11.710
diciembre-15;139.284;3.501;6.840;3.749;21.218;3.185;20.263;9.441;13.889;18.455;12.612
enero-16;83.890;1.693;3.567;3.290;16.123;2.545;12.372;6.426;12.979;10.847;9.061
febrero-16;96.323;3.799;5.773;3.336;16.876;3.194;19.726;9.563;13.302;17.346;10.438
marzo-16;98.069;3.266;6.428;2.716;16.100;3.343;13.817;8.695;13.811;21.655;11.145
abril-16;96.594;5.010;5.402;3.150;19.784;3.476;15.154;8.788;16.082;22.313;11.501
mayo-16;108.481;3.931;6.768;2.887;19.586;3.685;12.035;11.214;14.586;20.189;13.736
junio-16;115.239;5.554;5.167;4.690;16.585;3.809;12.538;8.916;13.857;23.304;11.363
julio-16;90.771;3.039;4.625;2.733;13.396;1.640;9.841;5.962;9.198;14.632;7.392
agosto-16;138.622;7.105;5.541;2.938;20.663;5.056;21.081;14.793;19.925;26.013;15.968
septiembre-16;113.690;4.754;5.936;3.429;25.412;4.284;14.434;10.398;11.635;18.003;14.764
octubre-16;106.094;5.984;4.439;3.120;17.752;3.541;14.372;9.692;17.047;26.301;9.891
noviembre-16;113.473;4.641;5.434;2.868;18.813;4.278;15.798;8.391;18.294;21.374;9.764
diciembre-16;117.256;4.379;4.522;3.620;23.400;4.487;16.233;14.632;21.182;22.583;12.253
enero-17;97.839;2.957;3.058;1.896;18.950;2.344;8.950;10.052;18.906;17.536;9.982
febrero-17;95.629;3.326;4.000;2.693;21.688;2.826;13.474;10.191;14.277;17.114;9.362
marzo-17;118.427;4.404;4.235;3.477;19.663;3.646;17.394;13.058;19.975;17.459;10.847
abril-17;94.766;4.822;3.881;3.038;21.825;3.136;11.062;15.446;16.424;16.793;11.083
mayo-17;115.479;5.171;5.135;9.245;20.526;4.549;13.117;13.677;17.977;16.808;9.259
junio-17;120.467;3.613;3.769;3.043;21.499;3.847;14.601;16.339;19.304;18.134;13.137
julio-17;118.370;7.089;3.639;4.233;24.719;4.639;18.173;11.694;22.580;17.273;14.194
agosto-17;130.009;6.161;4.084;2.474;22.872;3.547;12.745;14.742;29.226;25.111;13.101
septiembre-17;109.090;6.225;4.315;6.102;22.907;3.981;17.233;11.775;24.749;23.705;14.160
octubre-17;118.467;4.145;2.859;3.295;21.842;4.198;13.228;14.663;22.558;20.303;10.241
noviembre-17;124.681;8.469;6.540;5.243;21.669;4.088;15.957;10.565;19.002;21.056;11.114
diciembre-17;118.201;5.681;4.877;3.128;21.689;3.550;14.179;13.490;22.154;22.968;11.295
enero-18;112.600;4.926;3.474;5.087;22.385;3.486;11.041;15.647;17.442;16.398;12.495
febrero-18;140.987;6.275;3.285;4.724;19.240;3.176;15.492;18.091;26.594;21.865;10.456
marzo-18;116.236;6.154;5.550;5.786;20.947;3.917;13.904;15.415;21.730;22.429;11.554
abril-18;137.214;7.763;5.259;4.588;24.596;4.470;18.669;22.997;20.554;23.786;11.265
mayo-18;135.071;8.001;4.651;7.671;28.082;4.700;14.437;23.654;26.623;24.035;11.718
junio-18;120.167;5.865;4.585;4.378;21.163;3.725;9.824;15.495;16.065;22.108;10.938
julio-18;136.926;8.807;5.420;4.724;24.505;4.419;13.812;16.171;26.366;29.246;12.445
agosto-18;139.923;7.020;4.628;4.305;20.091;4.124;21.784;25.044;16.448;29.123;9.619
