Fecha;automoviles;camperos_camionetas;transp_publico;vehiculos_carga;total_unidades
Marzo 2017;13.521;9.161;1.026;1.122;24.830
Abril 2017;9.267;7.139;903;889;18.198
Mayo 2017;11.593;8.060;888;938;21.479
Junio 2017;13.548;9.515;1.034;1.080;25.177
Julio 2017;10.833;6.895;1.010;834;19.572
Agosto 2017;13.072;9.398;1.042;1.007;24.519
Septiembre 2017;14.649;9.189;1.091;954;25.883
Octubre 2017;11.972;8.394;1.133;957;22.456
Noviembre 2017;12.747;9.801;1.290;1.018;24.856
Diciembre 2017;12.429;11.400;769;846;25.444
Enero 2018;8.885;6.920;1.125;960;17.890
Febrero 2018;11.150;7.735;1.140;1.108;21.133
Marzo 2018;13.195;9.630;852;1.225;24.902
Abril 2018;11.860;8.543;992;1.098;22.493
Mayo 2018;12.443;9.961;987;1.363;24.754
Junio 2018;11.798;9.158;1.558;1.181;23.695
Julio 2018;11.071;8.503;1.194;1.278;22.046
Agosto 2018;13.983;10.117;1.420;1.273;26.793
Septiembre 2018;13.107;9.572;1.054;1.359;25.092
Octubre 2018;13.196;11.130;1.778;1.332;27.436
Noviembre 2018;16.524;13.283;1.637;1.666;33.110
Diciembre 2018;13.887;11.801;1.364;1.265;28.317
Enero 2019;10.361;7.600;802;1.066;19.829
Febrero 2019;10.578;8.751;992;1.249;21.570
Marzo 2019;13.058;10.191;1.690;1.339;26.278
Abril 2019;12.384;10.873;1.199;1.314;25.770
Mayo 2019;13.088;10.687;1.132;1.508;26.415
Junio 2019;12.705;9.010;1.418;1.287;24.420
Julio 2019;11.430;9.934;1.381;1.513;24.258
Agosto 2019;12.760;10.628;1.402;1.779;26.569
Septiembre 2019;12.546;9.435;1.029;1.600;24.610
Octubre 2019;13.357;10.990;738;1.678;26.763
Noviembre 2019;14.204;11.161;987;1.781;28.133
Diciembre 2019;14.675;9.762;1.821;1.496;27.754
