Mes;Materias plásticas y manufacturas;Caucho y manufacturas;Manufacturas de cuero, artículos de viaje, bolsos;Madera, carbón vegetal y manufacturas de madera;Corcho y sus manufacturas;Manufactura de espartería y cestería;Papel, cartón y sus manufacturas;Plumas, flores artificiales; manufactura de cabellos;Manufacturas de piedra, yeso, cemento, mica y análogas;Vidrio y manufacturas;Manufactura de fundición, de hierro o acero;Cobre y sus manufacturas;Níquel y sus manufacturas;Aluminio y sus manufacturas;Plomo y manufacturas;Zinc y manufacturas;Estaño y manufacturas;Demás metales comunes, "cermets" y manufacturas;Manufacturas diversas de metales comunes;Manufacturas diversas
diciembre-11;121.895;13.638;6.988;2.613;6;25;51.029;20;5.814;20.785;17.797;24.621;1;10.578;0;2;5;106;3.043;5.000
enero-12;118.234;12.937;4.259;2.343;3;17;38.768;0;4.367;16.692;11.381;28.741;2;9.349;39;0;10;58;1.687;14.391
febrero-12;124.968;14.076;4.923;2.506;7;7;32.520;17;4.771;27.059;20.725;31.787;33;14.865;43;13;1;92;2.661;18.509
marzo-12;137.335;15.314;6.348;2.704;7;20;37.830;36;5.711;23.806;26.912;23.975;0;13.628;48;52;8;50;3.241;20.603
abril-12;118.325;12.816;5.952;2.979;29;6;31.124;24;4.838;14.246;15.828;24.861;0;15.175;40;31;0;25;2.314;19.104
mayo-12;145.739;15.437;8.260;4.848;24;19;32.192;10;5.265;30.204;28.486;24.030;5;14.765;41;6;2;55;3.487;24.038
junio-12;128.289;8.813;7.797;3.428;5;13;34.379;2;5.137;17.310;31.129;30.304;108;13.580;42;7;5;42;3.102;20.388
julio-12;114.678;10.576;7.580;4.766;29;6;38.959;12;5.794;18.924;27.049;26.991;19;12.275;0;30;9;68;4.073;24.954
agosto-12;146.426;15.284;6.748;3.348;20;8;34.286;11;6.355;18.266;33.591;35.704;0;16.395;68;7;0;74;3.002;21.573
septiembre-12;120.241;9.974;7.034;5.569;15;4;32.956;20;5.225;24.737;26.300;25.708;0;16.270;74;0;18;84;3.366;19.968
octubre-12;133.484;17.613;6.986;3.297;18;4;36.997;3;4.893;16.598;22.746;29.233;28;13.434;666;69;0;30;3.414;23.198
noviembre-12;127.992;12.951;8.263;4.111;5;2;37.906;12;5.312;18.160;15.796;37.705;23;20.562;3.025;11;9;101;2.882;21.865
diciembre-12;125.344;14.095;7.343;4.561;10;9;30.562;15;5.195;18.455;21.269;31.772;22;16.079;3.139;7;1;65;3.075;20.419
enero-13;147.147;7.614;6.121;2.566;12;10;29.918;11;3.409;13.556;17.863;24.061;0;12.326;2.323;54;13;61;1.660;17.305
febrero-13;125.746;9.897;5.199;3.678;19;12;30.014;1;3.763;12.280;12.434;35.435;18;18.711;5.052;14;5;70;2.260;16.222
marzo-13;105.201;14.008;7.298;4.068;11;30;25.971;35;4.579;19.569;13.890;28.037;63;19.310;1.136;32;0;101;2.990;17.960
abril-13;144.120;12.750;8.797;3.669;21;11;35.701;18;4.944;21.573;15.017;29.627;93;20.545;2.993;9;5;79;2.879;21.368
mayo-13;146.351;11.945;8.007;4.711;31;41;32.316;32;4.514;13.567;19.654;25.370;22;17.408;1.057;40;1;172;3.435;18.498
junio-13;129.648;12.514;5.900;2.928;2;29;32.242;6;4.328;17.129;18.012;34.593;198;19.168;1.142;4;5;131;2.842;17.085
julio-13;133.846;7.472;6.849;3.760;17;27;38.663;0;4.054;15.214;20.476;25.350;4;16.622;484;30;3;85;4.386;21.710
agosto-13;106.468;10.793;6.902;3.507;8;51;32.761;10;4.478;13.925;10.458;25.024;19;15.880;1.680;24;37;62;3.014;16.034
septiembre-13;149.759;8.366;5.165;3.341;40;8;31.173;35;4.946;15.783;13.512;35.129;36;16.494;1.854;0;0;184;3.689;23.188
octubre-13;146.913;8.151;7.752;4.629;9;22;37.438;6;6.082;19.505;16.374;26.625;23;19.358;2.847;70;7;47;3.610;24.127
noviembre-13;127.218;7.817;6.976;3.325;5;17;32.818;21;5.042;12.680;16.477;23.373;32;15.881;2.185;39;15;116;3.407;21.886
diciembre-13;138.802;6.739;8.345;2.813;9;51;32.811;24;5.930;20.983;23.031;26.159;35;18.248;196;24;2;83;3.294;22.606
enero-14;110.753;3.909;4.717;4.060;1;16;28.218;13;3.157;13.232;16.192;23.505;2;12.852;3.086;72;3;41;2.087;27.048
febrero-14;118.477;6.504;5.652;3.786;3;16;30.981;13;3.788;14.503;18.444;20.861;29;15.930;1.417;9;3;103;3.200;24.921
marzo-14;132.712;9.495;6.487;5.400;11;58;27.143;1;4.187;20.671;13.346;26.744;0;18.715;2.458;37;0;95;1.900;16.562
abril-14;116.505;8.923;6.121;3.755;22;27;26.837;10;3.420;18.054;14.255;18.349;29;19.400;1.541;36;7;90;3.062;16.625
mayo-14;124.860;6.810;7.325;4.668;6;54;31.545;36;5.394;23.192;21.084;23.428;16;16.760;1.307;49;0;105;3.062;16.954
junio-14;125.770;6.436;6.531;3.117;18;68;26.384;9;3.870;16.424;15.825;20.561;0;15.127;581;102;4;64;2.943;19.040
julio-14;167.491;9.001;8.362;5.833;12;59;35.128;2;5.993;26.514;15.202;27.131;12;17.358;897;19;8;119;3.399;16.251
agosto-14;145.388;6.412;5.589;6.212;4;25;33.133;15;3.962;21.092;11.046;24.546;12;17.708;128;43;2;177;3.158;17.095
septiembre-14;167.165;11.073;6.660;4.783;9;62;26.921;6;4.493;20.737;11.427;19.059;0;18.156;308;18;7;137;3.237;16.386
octubre-14;151.437;8.647;7.271;4.489;9;39;28.000;19;4.418;21.562;12.140;18.292;23;17.870;1.045;131;2;107;3.412;19.420
noviembre-14;115.530;6.950;6.727;4.076;26;49;27.603;15;4.274;23.758;12.004;22.672;0;16.018;360;24;17;282;3.528;13.557
diciembre-14;140.849;5.682;10.746;4.272;10;31;24.028;1;5.243;18.652;14.844;23.918;61;15.273;287;110;1;70;3.441;13.728
enero-15;124.536;6.028;3.702;3.484;12;20;27.332;4;2.111;12.182;16.074;21.531;0;14.768;502;8;0;94;2.013;15.631
febrero-15;112.432;6.049;5.220;2.804;51;23;19.707;0;3.632;12.718;13.888;20.736;23;19.976;142;32;5;49;2.393;15.111
marzo-15;102.898;5.994;6.407;2.462;24;56;18.710;26;3.019;13.883;11.693;18.646;0;22.315;142;1;18;91;2.789;14.525
abril-15;129.003;9.065;7.130;4.404;17;10;25.932;1;2.922;15.231;9.506;19.464;0;16.287;129;5;5;154;2.908;19.635
mayo-15;131.456;8.461;6.641;3.614;7;33;30.766;0;3.512;14.882;15.449;23.544;14;22.214;1.251;11;48;34;3.303;17.162
junio-15;127.191;8.616;7.178;3.950;10;21;25.826;6;3.416;13.207;17.832;25.133;21;18.246;536;30;7;84;2.637;16.103
julio-15;124.287;7.343;5.631;4.341;47;27;27.982;38;4.838;16.599;12.240;18.717;1;16.771;670;6;42;1;3.083;18.102
agosto-15;110.972;6.563;6.014;3.956;27;21;22.109;17;3.921;14.863;10.471;20.629;4;14.851;404;32;4;68;2.531;14.896
septiembre-15;115.816;6.471;6.238;4.005;19;4;21.945;5;3.538;16.686;11.388;20.205;0;18.330;346;34;16;227;2.783;15.112
octubre-15;112.583;4.453;6.066;3.014;8;30;16.602;18;3.171;12.298;12.931;13.036;20;20.829;284;11;20;38;2.383;14.106
noviembre-15;93.391;3.047;6.462;3.795;23;12;23.285;3;2.630;11.971;11.992;15.125;3;17.447;294;15;13;92;2.867;11.710
diciembre-15;139.284;3.501;6.840;3.749;14;19;21.218;9;3.185;20.263;9.441;13.889;2;18.455;117;17;0;76;2.727;12.612
enero-16;83.890;1.693;3.567;3.290;16;4;16.123;0;2.545;12.372;6.426;12.979;0;10.847;124;12;6;92;1.857;9.061
febrero-16;96.323;3.799;5.773;3.336;58;6;16.876;4;3.194;19.726;9.563;13.302;12;17.346;209;29;7;30;2.186;10.438
marzo-16;98.069;3.266;6.428;2.716;33;26;16.100;11;3.343;13.817;8.695;13.811;1;21.655;334;12;7;61;2.265;11.145
abril-16;96.594;5.010;5.402;3.150;40;20;19.784;1;3.476;15.154;8.788;16.082;1;22.313;2.058;48;9;36;2.077;11.501
mayo-16;108.481;3.931;6.768;2.887;35;23;19.586;11;3.685;12.035;11.214;14.586;3;20.189;87;28;6;172;2.877;13.736
junio-16;115.239;5.554;5.167;4.690;23;12;16.585;9;3.809;12.538;8.916;13.857;0;23.304;167;28;5;22;2.513;11.363
julio-16;90.771;3.039;4.625;2.733;10;22;13.396;2;1.640;9.841;5.962;9.198;1;14.632;129;13;23;92;2.175;7.392
agosto-16;138.622;7.105;5.541;2.938;11;3;20.663;7;5.056;21.081;14.793;19.925;1;26.013;308;186;7;62;2.820;15.968
septiembre-16;113.690;4.754;5.936;3.429;52;42;25.412;7;4.284;14.434;10.398;11.635;6;18.003;564;6;5;106;2.487;14.764
octubre-16;106.094;5.984;4.439;3.120;49;31;17.752;4;3.541;14.372;9.692;17.047;1;26.301;2.527;6;4;24;2.639;9.891
